Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,Treatment,Department_Computer Science and Engineering,Department_Economics,Department_Electrical and Electronic Engineering,Department_English,"Department_Journalism, Communication and Media Studies",Department_Law and Human Rights,Department_Political Science,Department_Public Health,Department_Sociology
1,4.17,4.84,0,0,3,2,0,3,0,3,1,6,3.22,3.35,1,False,False,False,False,False,False,False,False,False
0,4.92,5.0,2,1,3,0,0,3,0,3,1,7,3.467,3.467,0,False,False,False,False,False,False,False,False,False
1,5.0,4.83,1,0,3,0,2,3,0,4,1,3,4.0,3.72,0,False,False,False,False,False,False,False,False,False
1,4.0,4.5,3,1,5,2,2,3,0,5,1,4,3.8,3.75,1,False,False,False,False,False,False,False,False,False
0,2.19,3.17,1,0,3,0,1,3,0,3,1,4,3.94,3.94,0,False,False,False,False,False,False,False,False,False
1,4.75,4.05,1,0,3,0,2,0,0,4,0,2,1.0,1.0,0,True,False,False,False,False,False,False,False,False
1,4.42,5.0,3,0,4,0,2,2,0,2,0,2,1.06,1.06,0,True,False,False,False,False,False,False,False,False
1,4.5,4.81,2,1,3,1,2,3,0,4,1,11,2.95,1.25,1,True,False,False,False,False,False,False,False,False
1,3.32,4.5,0,1,4,0,2,0,0,3,1,5,1.42,1.44,0,True,False,False,False,False,False,False,False,False
0,3.33,4.95,1,1,3,0,2,0,0,4,0,2,1.5,1.5,0,True,False,False,False,False,False,False,False,False
1,4.17,5.0,1,0,3,0,2,0,0,4,0,2,1.56,1.56,0,True,False,False,False,False,False,False,False,False
1,3.58,4.56,2,0,4,0,2,0,0,4,0,9,1.57,1.57,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,0,2,2,0,2,1,8,1.57,1.57,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,2,0,1,0,2,2,0,2,0,8,1.0,1.6,0,True,False,False,False,False,False,False,False,False
1,3.83,5.0,0,0,2,0,2,0,0,4,0,2,1.62,1.62,0,True,False,False,False,False,False,False,False,False
1,4.33,4.64,1,1,5,0,2,0,0,4,0,2,1.69,1.69,0,True,False,False,False,False,False,False,False,False
0,4.51,4.75,1,0,1,0,2,2,0,2,1,8,1.83,1.71,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,0,2,2,0,2,0,2,1.69,1.72,0,True,False,False,False,False,False,False,False,False
1,3.92,4.72,3,0,3,0,2,2,0,2,0,5,1.33,1.75,0,True,False,False,False,False,False,False,False,False
1,3.92,5.0,3,0,4,0,2,2,0,2,1,2,1.75,1.75,0,True,False,False,False,False,False,False,False,False
1,4.08,5.0,0,0,3,0,2,2,0,2,0,2,1.25,1.75,0,True,False,False,False,False,False,False,False,False
1,3.67,4.86,1,1,2,0,0,3,0,3,1,3,1.79,1.8,0,True,False,False,False,False,False,False,False,False
1,4.0,5.0,1,1,3,0,2,2,0,2,0,2,1.63,1.86,0,True,False,False,False,False,False,False,False,False
1,3.75,4.73,2,0,5,0,2,2,0,4,1,2,1.88,1.88,0,True,False,False,False,False,False,False,False,False
1,3.5,5.0,2,1,1,0,2,2,0,4,0,5,1.89,1.89,0,True,False,False,False,False,False,False,False,False
1,4.2,5.0,2,1,4,0,2,0,0,4,0,9,1.45,1.9,0,True,False,False,False,False,False,False,False,False
0,4.58,4.94,3,0,3,0,2,0,0,4,0,5,1.33,1.9,0,True,False,False,False,False,False,False,False,False
1,3.0,4.06,0,0,3,0,2,2,0,4,0,2,1.92,1.92,0,True,False,False,False,False,False,False,False,False
1,4.17,5.0,1,1,3,1,2,2,0,3,0,2,2.06,1.97,1,True,False,False,False,False,False,False,False,False
1,4.42,5.0,1,1,3,0,0,2,0,2,0,11,2.33,2.0,0,True,False,False,False,False,False,False,False,False
1,4.0,4.78,0,0,3,1,2,2,0,4,1,8,2.16,2.0,1,True,False,False,False,False,False,False,False,False
1,4.5,4.75,0,0,1,0,2,2,0,2,0,5,1.5,2.02,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,0,2,2,0,2,0,8,1.64,2.1,0,True,False,False,False,False,False,False,False,False
